counts,number of items in equivalence class,isoforms in equivalence class
1719,1,ENST00000320580
1705,1,ENST00000356786
1705,2,"ENST00000341394,ENST00000532820"
1690,2,"ENST00000311481,ENST00000527397"
1678,12,"ENST00000227378,ENST00000453788,ENST00000524590,ENST00000525624,ENST00000526110,ENST00000527387,ENST00000528292,ENST00000530391,ENST00000532182,ENST00000532636,ENST00000534567,ENST00000534624"
1675,2,"ENST00000279227,ENST00000345728"
1668,10,"ENST00000278572,ENST00000422465,ENST00000524851,ENST00000525933,ENST00000526608,ENST00000527446,ENST00000528847,ENST00000530721,ENST00000531188,ENST00000532872"
1663,2,"ENST00000227155,ENST00000524750"
1641,1,ENST00000312579
1638,6,"ENST00000314138,ENST00000524496,ENST00000526562,ENST00000530022,ENST00000530913,ENST00000534599"
1637,3,"ENST00000279227,ENST00000345728,ENST00000545896"
1624,2,"ENST00000227525,ENST00000536171"
1623,5,"ENST00000264555,ENST00000413872,ENST00000416188,ENST00000533464,ENST00000534320"
1614,5,"ENST00000525297,ENST00000526555,ENST00000527548,ENST00000529639,ENST00000531743"
1600,3,"ENST00000264028,ENST00000359415,ENST00000392859"
1591,21,"ENST00000328221,ENST00000408968,ENST00000679353,ENST00000679380,ENST00000679765,ENST00000679982,ENST00000680299,ENST00000680310,ENST00000680342,ENST00000680588,ENST00000680696,ENST00000680699,ENST00000680802,ENST00000680870,ENST00000680938,ENST00000681180,ENST00000681426,ENST00000681577,ENST00000681702,ENST00000681761,ENST00000681938"
1577,2,"ENST00000378852,ENST00000531273"
1567,2,"ENST00000319006,ENST00000528097"
1562,10,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000486690,ENST00000540430,ENST00000542179,ENST00000543445,ENST00000543695,ENST00000545215"
1553,1,ENST00000263847
1539,2,"ENST00000278412,ENST00000635721"
1534,4,"ENST00000312175,ENST00000445560,ENST00000527348,ENST00000533166"
1534,9,"ENST00000227157,ENST00000379412,ENST00000396222,ENST00000422447,ENST00000478970,ENST00000495052,ENST00000540430,ENST00000542179,ENST00000543445"
1523,3,"ENST00000228140,ENST00000525634,ENST00000533969"
1514,2,"ENST00000524496,ENST00000534599"
1498,10,"ENST00000227378,ENST00000453788,ENST00000525463,ENST00000525624,ENST00000527387,ENST00000528292,ENST00000532182,ENST00000532636,ENST00000534567,ENST00000534624"
1494,5,"ENST00000300738,ENST00000532170,ENST00000533349,ENST00000533495,ENST00000534285"
1480,9,"ENST00000330243,ENST00000348655,ENST00000397566,ENST00000397570,ENST00000469048,ENST00000525445,ENST00000528413,ENST00000532326,ENST00000533182"
1467,2,"ENST00000318950,ENST00000447399"
1456,2,"ENST00000393067,ENST00000531398"
1453,1,ENST00000227451
1449,4,"ENST00000294256,ENST00000307289,ENST00000377190,ENST00000526060"
1437,2,"ENST00000309422,ENST00000426086"
1421,1,ENST00000532872
1421,5,"ENST00000339995,ENST00000396525,ENST00000525681,ENST00000526148,ENST00000531416"
1419,2,"ENST00000265686,ENST00000532635"
1416,3,"ENST00000310513,ENST00000395290,ENST00000687097"
1397,6,"ENST00000263464,ENST00000526421,ENST00000527309,ENST00000532808,ENST00000615299,ENST00000673846"
1393,8,"ENST00000308162,ENST00000524553,ENST00000525451,ENST00000527344,ENST00000531407,ENST00000531413,ENST00000532134,ENST00000534769"
1391,5,"ENST00000278616,ENST00000452508,ENST00000527805,ENST00000675595,ENST00000675843"
1389,5,"ENST00000319397,ENST00000392668,ENST00000526145,ENST00000531611,ENST00000535549"
1382,1,ENST00000279839
1378,3,"ENST00000398603,ENST00000398606,ENST00000646888"
1369,1,ENST00000355703
1369,2,"ENST00000531572,ENST00000640290"
1363,1,ENST00000350997
1354,1,ENST00000227471
1340,1,ENST00000309318
1335,1,ENST00000305885
1333,8,"ENST00000530473,ENST00000532519,ENST00000543287,ENST00000612687,ENST00000614711,ENST00000617285,ENST00000621959,ENST00000652093"
