counts,number of items in equivalence class,isoforms in equivalence class
11,11,"ENST00000256190,ENST00000525040,ENST00000675281,ENST00000676324,ENST00000676387,ENST00000688344,ENST00000689128,ENST00000689342,ENST00000689940,ENST00000690944,ENST00000692716"
11,13,"ENST00000530910,ENST00000679497,ENST00000679685,ENST00000680329,ENST00000680797,ENST00000680829,ENST00000680996,ENST00000681225,ENST00000681351,ENST00000681384,ENST00000681575,ENST00000681699,ENST00000681765"
11,5,"ENST00000321448,ENST00000340360,ENST00000527087,ENST00000531849,ENST00000684022"
11,3,"ENST00000526516,ENST00000530139,ENST00000532802"
11,4,"ENST00000298966,ENST00000525141,ENST00000527149,ENST00000596676"
11,2,"ENST00000525455,ENST00000531996"
11,9,"ENST00000343631,ENST00000358681,ENST00000395673,ENST00000533608,ENST00000682359,ENST00000682993,ENST00000683000,ENST00000683870,ENST00000684533"
11,1,ENST00000533211
11,1,ENST00000361987
11,2,"ENST00000530204,ENST00000533166"
11,2,"ENST00000263681,ENST00000532497"
11,4,"ENST00000528398,ENST00000529016,ENST00000529760,ENST00000532317"
11,9,"ENST00000265965,ENST00000524716,ENST00000525422,ENST00000527494,ENST00000528200,ENST00000529728,ENST00000530613,ENST00000532265,ENST00000532389"
11,1,ENST00000418153
11,6,"ENST00000302755,ENST00000534911,ENST00000535502,ENST00000544253,ENST00000544514,ENST00000544612"
11,7,"ENST00000301761,ENST00000359614,ENST00000534878,ENST00000537782,ENST00000538594,ENST00000541135,ENST00000544801"
11,8,"ENST00000332231,ENST00000448903,ENST00000528195,ENST00000528815,ENST00000534328,ENST00000687792,ENST00000687890,ENST00000693238"
11,12,"ENST00000530910,ENST00000679497,ENST00000679685,ENST00000680797,ENST00000680829,ENST00000680996,ENST00000681225,ENST00000681351,ENST00000681384,ENST00000681575,ENST00000681699,ENST00000681765"
11,13,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000528884,ENST00000530995,ENST00000532450,ENST00000532802,ENST00000533340,ENST00000533753,ENST00000533842"
11,12,"ENST00000340252,ENST00000355721,ENST00000356632,ENST00000358658,ENST00000526516,ENST00000526799,ENST00000528884,ENST00000530995,ENST00000532450,ENST00000533340,ENST00000533753,ENST00000533842"
11,4,"ENST00000278187,ENST00000454584,ENST00000524701,ENST00000532398"
11,1,ENST00000527586
11,1,ENST00000351554
11,8,"ENST00000334805,ENST00000400925,ENST00000537351,ENST00000537947,ENST00000538536,ENST00000543304,ENST00000544767,ENST00000545082"
11,2,"ENST00000299563,ENST00000527301"
11,1,ENST00000529248
11,1,ENST00000528847
11,6,"ENST00000393800,ENST00000393801,ENST00000524845,ENST00000524904,ENST00000533127,ENST00000534534"
11,3,"ENST00000265965,ENST00000525422,ENST00000528200"
11,8,"ENST00000528498,ENST00000530301,ENST00000530749,ENST00000532118,ENST00000645495,ENST00000645527,ENST00000646663,ENST00000647231"
11,2,"ENST00000359957,ENST00000425825"
11,1,ENST00000490820
11,12,"ENST00000299427,ENST00000533371,ENST00000642892,ENST00000643439,ENST00000643516,ENST00000644218,ENST00000644683,ENST00000644810,ENST00000645285,ENST00000645620,ENST00000647152,ENST00000682424"
11,5,"ENST00000319863,ENST00000397472,ENST00000526325,ENST00000528309,ENST00000534603"
11,5,"ENST00000333256,ENST00000380996,ENST00000437110,ENST00000440813,ENST00000451491"
11,8,"ENST00000255078,ENST00000539224,ENST00000545146,ENST00000674583,ENST00000674955,ENST00000675615,ENST00000675873,ENST00000676228"
11,3,"ENST00000265963,ENST00000530496,ENST00000534641"
11,6,"ENST00000382743,ENST00000524564,ENST00000525319,ENST00000529382,ENST00000529937,ENST00000532837"
11,2,"ENST00000243673,ENST00000539203"
11,9,"ENST00000310571,ENST00000376384,ENST00000535604,ENST00000536003,ENST00000541951,ENST00000543814,ENST00000544552,ENST00000544909,ENST00000546039"
11,3,"ENST00000404792,ENST00000497194,ENST00000534583"
11,1,ENST00000348124
11,2,"ENST00000528950,ENST00000533727"
11,1,ENST00000398846
11,3,"ENST00000398846,ENST00000652489,ENST00000674184"
11,17,"ENST00000278893,ENST00000301781,ENST00000360796,ENST00000403550,ENST00000403734,ENST00000407022,ENST00000421906,ENST00000449636,ENST00000524862,ENST00000679883,ENST00000682223,ENST00000682262,ENST00000682555,ENST00000683025,ENST00000683296,ENST00000684285,ENST00000684475"
11,1,ENST00000301770
11,8,"ENST00000325486,ENST00000325542,ENST00000537677,ENST00000538658,ENST00000539855,ENST00000540830,ENST00000541150,ENST00000541365"
11,1,ENST00000530765
11,5,"ENST00000334274,ENST00000432887,ENST00000527661,ENST00000530419,ENST00000531632"
11,3,"ENST00000531688,ENST00000679765,ENST00000681577"
11,13,"ENST00000331581,ENST00000452722,ENST00000536727,ENST00000537058,ENST00000540951,ENST00000542447,ENST00000542450,ENST00000543249,ENST00000543540,ENST00000545094,ENST00000545380,ENST00000612235,ENST00000616271"
11,2,"ENST00000524984,ENST00000532868"
11,21,"ENST00000278243,ENST00000300730,ENST00000396986,ENST00000396991,ENST00000396993,ENST00000463452,ENST00000464229,ENST00000464261,ENST00000464441,ENST00000464906,ENST00000465307,ENST00000469307,ENST00000475884,ENST00000477358,ENST00000479072,ENST00000490830,ENST00000493547,ENST00000496834,ENST00000528216,ENST00000532017,ENST00000532523"
11,19,"ENST00000278243,ENST00000300730,ENST00000396986,ENST00000396991,ENST00000396993,ENST00000459679,ENST00000463452,ENST00000464229,ENST00000464261,ENST00000464906,ENST00000465307,ENST00000469307,ENST00000479072,ENST00000490830,ENST00000493547,ENST00000496834,ENST00000528216,ENST00000532017,ENST00000532523"
11,5,"ENST00000227378,ENST00000453788,ENST00000532636,ENST00000533540,ENST00000534624"
11,7,"ENST00000316924,ENST00000394065,ENST00000394066,ENST00000394067,ENST00000417856,ENST00000421552,ENST00000461611"
11,1,ENST00000294119
11,5,"ENST00000392708,ENST00000527606,ENST00000529196,ENST00000531491,ENST00000649491"
11,2,"ENST00000361367,ENST00000532365"
11,5,"ENST00000278568,ENST00000356341,ENST00000524847,ENST00000529248,ENST00000530617"
11,9,"ENST00000325486,ENST00000325542,ENST00000537093,ENST00000537677,ENST00000538658,ENST00000539855,ENST00000540830,ENST00000541150,ENST00000541365"
11,2,"ENST00000433818,ENST00000535943"
11,7,"ENST00000346501,ENST00000397397,ENST00000397404,ENST00000397406,ENST00000397408,ENST00000530404,ENST00000532375"
11,1,ENST00000534408
11,4,"ENST00000322147,ENST00000526927,ENST00000528516,ENST00000532661"
11,6,"ENST00000354202,ENST00000409993,ENST00000682326,ENST00000682811,ENST00000682946,ENST00000683143"
11,4,"ENST00000353172,ENST00000528251,ENST00000530054,ENST00000533144"
11,2,"ENST00000524496,ENST00000531978"
11,1,ENST00000536839
11,5,"ENST00000361756,ENST00000393711,ENST00000393713,ENST00000526549,ENST00000530137"
11,12,"ENST00000323180,ENST00000418153,ENST00000524497,ENST00000525438,ENST00000525676,ENST00000527782,ENST00000529782,ENST00000530587,ENST00000531959,ENST00000532010,ENST00000533757,ENST00000693049"
11,21,"ENST00000289488,ENST00000307198,ENST00000324866,ENST00000423494,ENST00000427369,ENST00000439209,ENST00000535883,ENST00000536917,ENST00000538413,ENST00000538478,ENST00000539271,ENST00000541614,ENST00000542846,ENST00000544409,ENST00000642478,ENST00000642510,ENST00000642648,ENST00000643715,ENST00000645358,ENST00000646163,ENST00000647530"
11,6,"ENST00000325207,ENST00000526104,ENST00000526982,ENST00000527696,ENST00000527728,ENST00000530889"
11,1,ENST00000472545
11,9,"ENST00000279247,ENST00000524773,ENST00000526468,ENST00000526954,ENST00000527323,ENST00000528396,ENST00000529133,ENST00000533129,ENST00000533820"
11,1,ENST00000310128
11,6,"ENST00000300038,ENST00000396196,ENST00000396197,ENST00000535484,ENST00000541984,ENST00000543987"
11,4,"ENST00000336139,ENST00000529691,ENST00000530393,ENST00000533463"
11,1,ENST00000527737
11,5,"ENST00000525902,ENST00000526772,ENST00000527467,ENST00000531014,ENST00000533667"
11,2,"ENST00000347755,ENST00000411829"
11,3,"ENST00000314475,ENST00000375095,ENST00000529187"
11,1,ENST00000526137
11,1,ENST00000682254
11,8,"ENST00000356360,ENST00000393346,ENST00000526033,ENST00000531558,ENST00000532041,ENST00000532317,ENST00000534412,ENST00000630913"
11,10,"ENST00000278572,ENST00000526608,ENST00000527273,ENST00000527446,ENST00000528439,ENST00000530164,ENST00000530721,ENST00000531188,ENST00000532872,ENST00000534440"
11,5,"ENST00000320740,ENST00000349459,ENST00000526296,ENST00000532970,ENST00000618547"
11,4,"ENST00000428192,ENST00000535715,ENST00000538426,ENST00000541478"
11,2,"ENST00000320585,ENST00000457199"
11,9,"ENST00000236671,ENST00000433655,ENST00000438213,ENST00000636397,ENST00000636571,ENST00000636615,ENST00000636843,ENST00000637387,ENST00000678991"
11,1,ENST00000532017
11,1,ENST00000676545
11,13,"ENST00000256190,ENST00000530741,ENST00000675281,ENST00000676324,ENST00000676387,ENST00000688344,ENST00000689128,ENST00000689258,ENST00000689342,ENST00000689597,ENST00000689940,ENST00000690944,ENST00000692716"
11,1,ENST00000648273
11,7,"ENST00000359803,ENST00000395565,ENST00000395566,ENST00000405308,ENST00000407067,ENST00000489525,ENST00000533952"
11,3,"ENST00000155840,ENST00000335475,ENST00000526095"
11,8,"ENST00000336898,ENST00000443276,ENST00000526177,ENST00000527820,ENST00000529721,ENST00000533784,ENST00000533805,ENST00000534322"
11,9,"ENST00000323180,ENST00000418153,ENST00000524497,ENST00000530587,ENST00000531959,ENST00000532883,ENST00000676320,ENST00000690620,ENST00000693049"
11,2,"ENST00000536250,ENST00000542794"
11,1,ENST00000375167
11,5,"ENST00000382743,ENST00000524564,ENST00000525237,ENST00000526854,ENST00000532956"
11,4,"ENST00000397510,ENST00000397512,ENST00000488769,ENST00000526170"
11,4,"ENST00000535234,ENST00000538393,ENST00000543587,ENST00000545680"
11,2,"ENST00000529281,ENST00000531571"
11,11,"ENST00000304363,ENST00000323599,ENST00000401547,ENST00000402185,ENST00000402789,ENST00000405515,ENST00000427752,ENST00000441488,ENST00000453170,ENST00000458496,ENST00000615954"
11,3,"ENST00000304363,ENST00000401547,ENST00000427752"
11,4,"ENST00000323180,ENST00000530587,ENST00000676320,ENST00000693049"
11,2,"ENST00000526776,ENST00000532287"
11,23,"ENST00000338663,ENST00000377889,ENST00000377891,ENST00000535296,ENST00000536981,ENST00000538084,ENST00000539507,ENST00000539891,ENST00000541425,ENST00000544377,ENST00000679908,ENST00000680002,ENST00000680134,ENST00000680297,ENST00000680610,ENST00000680631,ENST00000680725,ENST00000680729,ENST00000681107,ENST00000681232,ENST00000681467,ENST00000681569,ENST00000681657"
11,3,"ENST00000256997,ENST00000672073,ENST00000672636"
11,8,"ENST00000005082,ENST00000343338,ENST00000354599,ENST00000399602,ENST00000429541,ENST00000438262,ENST00000526601,ENST00000620374"
11,4,"ENST00000265881,ENST00000539275,ENST00000544827,ENST00000546316"
11,2,"ENST00000294172,ENST00000531709"
11,1,ENST00000454828
11,8,"ENST00000426335,ENST00000524782,ENST00000525314,ENST00000527927,ENST00000528041,ENST00000532438,ENST00000533243,ENST00000627920"
11,2,"ENST00000530506,ENST00000530541"
11,1,ENST00000619129
11,5,"ENST00000526425,ENST00000528910,ENST00000529308,ENST00000530267,ENST00000530546"
11,1,ENST00000676339
11,2,"ENST00000346329,ENST00000376561"
11,1,ENST00000328221
11,2,"ENST00000393893,ENST00000545016"
11,8,"ENST00000279146,ENST00000525341,ENST00000528641,ENST00000682659,ENST00000682699,ENST00000683856,ENST00000684006,ENST00000684657"
11,1,ENST00000325656
11,6,"ENST00000253925,ENST00000389547,ENST00000526369,ENST00000532504,ENST00000644155,ENST00000648755"
11,4,"ENST00000332725,ENST00000397632,ENST00000431843,ENST00000531205"
11,1,ENST00000347941
11,7,"ENST00000278951,ENST00000324225,ENST00000431081,ENST00000525478,ENST00000532062,ENST00000620360,ENST00000628876"
11,8,"ENST00000350997,ENST00000421879,ENST00000433932,ENST00000491310,ENST00000540767,ENST00000542506,ENST00000545245,ENST00000545405"
11,12,"ENST00000525964,ENST00000527944,ENST00000534532,ENST00000534548,ENST00000685324,ENST00000688263,ENST00000688672,ENST00000689205,ENST00000689387,ENST00000690149,ENST00000690743,ENST00000691025"
11,4,"ENST00000354024,ENST00000377497,ENST00000394432,ENST00000421556"
11,3,"ENST00000323180,ENST00000676320,ENST00000693049"
11,6,"ENST00000337979,ENST00000528805,ENST00000529177,ENST00000533637,ENST00000633708,ENST00000641815"
11,10,"ENST00000227503,ENST00000334944,ENST00000377387,ENST00000377390,ENST00000377394,ENST00000413725,ENST00000433274,ENST00000443908,ENST00000448404,ENST00000681407"
11,9,"ENST00000299492,ENST00000525597,ENST00000527790,ENST00000528883,ENST00000529575,ENST00000533792,ENST00000650027,ENST00000684123,ENST00000684215"
11,2,"ENST00000312390,ENST00000526387"
11,5,"ENST00000375490,ENST00000540163,ENST00000541475,ENST00000544347,ENST00000544582"
11,5,"ENST00000415148,ENST00000428726,ENST00000525211,ENST00000526553,ENST00000531110"
11,11,"ENST00000251871,ENST00000533133,ENST00000638487,ENST00000638518,ENST00000638767,ENST00000638790,ENST00000639189,ENST00000639523,ENST00000640027,ENST00000640077,ENST00000640521"
11,2,"ENST00000360025,ENST00000532447"
11,4,"ENST00000264037,ENST00000392793,ENST00000642222,ENST00000645008"
11,11,"ENST00000265965,ENST00000525422,ENST00000525920,ENST00000528200,ENST00000529151,ENST00000529728,ENST00000530613,ENST00000530925,ENST00000532265,ENST00000532389,ENST00000533328"
11,4,"ENST00000415148,ENST00000428726,ENST00000526553,ENST00000531110"
11,1,ENST00000531407
11,8,"ENST00000313005,ENST00000392937,ENST00000510630,ENST00000510915,ENST00000513780,ENST00000528053,ENST00000680681,ENST00000680971"
11,1,ENST00000334944
11,2,"ENST00000378024,ENST00000530285"
11,3,"ENST00000379016,ENST00000456517,ENST00000525975"
11,2,"ENST00000397582,ENST00000414138"
11,4,"ENST00000263398,ENST00000415148,ENST00000428726,ENST00000526025"
11,1,ENST00000527767
11,6,"ENST00000359005,ENST00000434101,ENST00000525303,ENST00000528230,ENST00000533012,ENST00000533632"
11,3,"ENST00000298838,ENST00000532457,ENST00000539589"
11,1,ENST00000524827
11,6,"ENST00000298838,ENST00000528201,ENST00000528462,ENST00000530513,ENST00000532457,ENST00000539589"
11,3,"ENST00000448187,ENST00000455338,ENST00000529361"
11,2,"ENST00000438980,ENST00000540370"
11,1,ENST00000265978
11,3,"ENST00000308022,ENST00000541059,ENST00000545682"
11,4,"ENST00000308127,ENST00000308298,ENST00000376757,ENST00000532881"
11,4,"ENST00000415148,ENST00000428726,ENST00000524922,ENST00000528455"
11,1,ENST00000431081
11,3,"ENST00000337911,ENST00000405633,ENST00000429322"
11,1,ENST00000527888
10,4,"ENST00000311172,ENST00000409314,ENST00000409418,ENST00000422375"
10,2,"ENST00000430553,ENST00000536528"
10,3,"ENST00000401547,ENST00000402789,ENST00000405515"
10,4,"ENST00000334736,ENST00000524490,ENST00000525919,ENST00000529032"
10,8,"ENST00000397396,ENST00000397397,ENST00000397404,ENST00000397406,ENST00000397408,ENST00000409531,ENST00000409543,ENST00000527644"
10,6,"ENST00000313074,ENST00000377702,ENST00000411458,ENST00000438980,ENST00000536282,ENST00000539851"
10,2,"ENST00000525123,ENST00000528609"
10,1,ENST00000541059
10,15,"ENST00000535296,ENST00000536981,ENST00000538084,ENST00000539891,ENST00000541425,ENST00000544377,ENST00000679908,ENST00000680002,ENST00000680631,ENST00000680725,ENST00000680729,ENST00000681232,ENST00000681467,ENST00000681569,ENST00000681657"
10,4,"ENST00000263398,ENST00000425428,ENST00000442151,ENST00000525688"
10,6,"ENST00000332231,ENST00000448903,ENST00000528815,ENST00000687890,ENST00000688963,ENST00000693238"
10,5,"ENST00000380542,ENST00000492685,ENST00000526115,ENST00000532325,ENST00000620138"
10,9,"ENST00000350490,ENST00000361128,ENST00000377810,ENST00000402010,ENST00000502399,ENST00000513765,ENST00000677303,ENST00000677688,ENST00000679216"
10,3,"ENST00000532449,ENST00000534070,ENST00000534685"
10,4,"ENST00000294256,ENST00000307289,ENST00000377190,ENST00000528487"
10,12,"ENST00000318312,ENST00000393994,ENST00000419755,ENST00000524458,ENST00000525809,ENST00000526035,ENST00000526760,ENST00000527251,ENST00000532908,ENST00000533557,ENST00000533644,ENST00000630659"
10,11,"ENST00000314756,ENST00000393020,ENST00000442859,ENST00000455306,ENST00000464224,ENST00000483239,ENST00000494714,ENST00000525965,ENST00000529221,ENST00000529850,ENST00000531164"
10,5,"ENST00000260257,ENST00000528274,ENST00000531487,ENST00000542429,ENST00000622211"
10,4,"ENST00000450904,ENST00000541265,ENST00000565125,ENST00000567045"
10,12,"ENST00000256194,ENST00000524685,ENST00000525119,ENST00000526065,ENST00000527546,ENST00000528931,ENST00000532179,ENST00000532420,ENST00000533389,ENST00000646065,ENST00000675839,ENST00000683283"
10,5,"ENST00000292067,ENST00000356289,ENST00000526595,ENST00000526620,ENST00000640745"
10,3,"ENST00000525035,ENST00000529403,ENST00000533602"
10,1,ENST00000529120
10,3,"ENST00000446488,ENST00000524746,ENST00000682444"
10,9,"ENST00000260247,ENST00000527260,ENST00000527576,ENST00000527779,ENST00000529281,ENST00000529294,ENST00000531543,ENST00000531571,ENST00000583974"
10,1,ENST00000378312
10,2,"ENST00000686237,ENST00000686937"
10,1,ENST00000649490
10,2,"ENST00000531154,ENST00000616540"
10,6,"ENST00000263574,ENST00000278756,ENST00000338167,ENST00000528499,ENST00000533713,ENST00000650012"
10,2,"ENST00000425380,ENST00000526028"
10,1,ENST00000310513
10,2,"ENST00000532449,ENST00000534070"
10,4,"ENST00000279968,ENST00000524373,ENST00000529609,ENST00000533273"
10,1,ENST00000527273
10,11,"ENST00000304363,ENST00000401547,ENST00000402185,ENST00000402789,ENST00000405515,ENST00000427752,ENST00000434573,ENST00000441488,ENST00000453170,ENST00000458496,ENST00000615954"
10,1,ENST00000418988
10,1,ENST00000533306
10,4,"ENST00000325486,ENST00000325542,ENST00000539855,ENST00000540830"
10,4,"ENST00000227322,ENST00000425791,ENST00000429220,ENST00000444935"
10,3,"ENST00000526982,ENST00000527468,ENST00000527696"
10,4,"ENST00000260197,ENST00000525532,ENST00000527934,ENST00000532694"
10,3,"ENST00000464224,ENST00000483239,ENST00000529221"
10,21,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000676612,ENST00000677106,ENST00000677208,ENST00000677468,ENST00000677661,ENST00000677796,ENST00000677802,ENST00000677877,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199"
10,2,"ENST00000532808,ENST00000615299"
10,2,"ENST00000300747,ENST00000526337"
10,13,"ENST00000279247,ENST00000524773,ENST00000526468,ENST00000526954,ENST00000526966,ENST00000527323,ENST00000527699,ENST00000527739,ENST00000528396,ENST00000529133,ENST00000533129,ENST00000533820,ENST00000533909"
10,1,ENST00000544582
10,8,"ENST00000315204,ENST00000396672,ENST00000431279,ENST00000447869,ENST00000454443,ENST00000457885,ENST00000526360,ENST00000687296"
10,5,"ENST00000336139,ENST00000528306,ENST00000529691,ENST00000530393,ENST00000533463"
10,1,ENST00000358780
10,6,"ENST00000253925,ENST00000389547,ENST00000530746,ENST00000532024,ENST00000532504,ENST00000648755"
10,2,"ENST00000282251,ENST00000532251"
10,2,"ENST00000354420,ENST00000533410"
10,4,"ENST00000299596,ENST00000527813,ENST00000528080,ENST00000611268"
10,6,"ENST00000298852,ENST00000524447,ENST00000530912,ENST00000531051,ENST00000602866,ENST00000619920"
10,3,"ENST00000253925,ENST00000389547,ENST00000533894"
10,19,"ENST00000227266,ENST00000393301,ENST00000524463,ENST00000527018,ENST00000529974,ENST00000676612,ENST00000677208,ENST00000677468,ENST00000677796,ENST00000677802,ENST00000677877,ENST00000677976,ENST00000678395,ENST00000678464,ENST00000678506,ENST00000678554,ENST00000678915,ENST00000679032,ENST00000679199"
10,1,ENST00000528770
10,1,ENST00000378538
10,2,"ENST00000265909,ENST00000534726"
10,9,"ENST00000375549,ENST00000525291,ENST00000526592,ENST00000528021,ENST00000530923,ENST00000531744,ENST00000532699,ENST00000534010,ENST00000640554"
10,1,ENST00000534136
10,12,"ENST00000353247,ENST00000436863,ENST00000446369,ENST00000525825,ENST00000526568,ENST00000527979,ENST00000528974,ENST00000529871,ENST00000531166,ENST00000532439,ENST00000533400,ENST00000534497"
10,21,"ENST00000301781,ENST00000360796,ENST00000403734,ENST00000405837,ENST00000413908,ENST00000449636,ENST00000464544,ENST00000524862,ENST00000530009,ENST00000531524,ENST00000532818,ENST00000533982,ENST00000679883,ENST00000682223,ENST00000682262,ENST00000682555,ENST00000683025,ENST00000683296,ENST00000684067,ENST00000684285,ENST00000684475"
10,1,ENST00000343631
10,5,"ENST00000005082,ENST00000399602,ENST00000526601,ENST00000534569,ENST00000620374"
10,1,ENST00000681577
10,6,"ENST00000321844,ENST00000529331,ENST00000530460,ENST00000662483,ENST00000663165,ENST00000667240"
10,1,ENST00000528082
10,16,"ENST00000320230,ENST00000456706,ENST00000481290,ENST00000526152,ENST00000527723,ENST00000528606,ENST00000528936,ENST00000531214,ENST00000531534,ENST00000532484,ENST00000533385,ENST00000625419,ENST00000625752,ENST00000627843,ENST00000628067,ENST00000629634"
10,3,"ENST00000256733,ENST00000526900,ENST00000529528"
10,2,"ENST00000337672,ENST00000431606"
10,1,ENST00000525243
10,2,"ENST00000279146,ENST00000682699"
10,3,"ENST00000279147,ENST00000535657,ENST00000536870"
10,5,"ENST00000301873,ENST00000322147,ENST00000528516,ENST00000530866,ENST00000689505"
10,9,"ENST00000446488,ENST00000524746,ENST00000524794,ENST00000526940,ENST00000529319,ENST00000530278,ENST00000531755,ENST00000532225,ENST00000682444"
10,5,"ENST00000260318,ENST00000389568,ENST00000417449,ENST00000428149,ENST00000429370"
10,5,"ENST00000314138,ENST00000524496,ENST00000531978,ENST00000532359,ENST00000534599"
10,8,"ENST00000279263,ENST00000345348,ENST00000526085,ENST00000526809,ENST00000529292,ENST00000529414,ENST00000529601,ENST00000534371"
10,1,ENST00000527985
10,15,"ENST00000351554,ENST00000395850,ENST00000415002,ENST00000426650,ENST00000437761,ENST00000445143,ENST00000525763,ENST00000527577,ENST00000528700,ENST00000533403,ENST00000642928,ENST00000643183,ENST00000651785,ENST00000652086,ENST00000652678"
10,7,"ENST00000308022,ENST00000393877,ENST00000535813,ENST00000536020,ENST00000540133,ENST00000541059,ENST00000545682"
10,15,"ENST00000389707,ENST00000401424,ENST00000403290,ENST00000403510,ENST00000482049,ENST00000527998,ENST00000531665,ENST00000533520,ENST00000534544,ENST00000673626,ENST00000673817,ENST00000673834,ENST00000673888,ENST00000673892,ENST00000674108"
10,2,"ENST00000397614,ENST00000527485"
10,32,"ENST00000328221,ENST00000399808,ENST00000399815,ENST00000399817,ENST00000408968,ENST00000526811,ENST00000527146,ENST00000528780,ENST00000531688,ENST00000533141,ENST00000602569,ENST00000602735,ENST00000616316,ENST00000679380,ENST00000679382,ENST00000679765,ENST00000680197,ENST00000680209,ENST00000680261,ENST00000680344,ENST00000680588,ENST00000680619,ENST00000680696,ENST00000680938,ENST00000681180,ENST00000681198,ENST00000681211,ENST00000681304,ENST00000681577,ENST00000681833,ENST00000681840,ENST00000681938"
10,15,"ENST00000354202,ENST00000392834,ENST00000409993,ENST00000414373,ENST00000682232,ENST00000682326,ENST00000682791,ENST00000682811,ENST00000682946,ENST00000683143,ENST00000684142,ENST00000684255,ENST00000684345,ENST00000684499,ENST00000684682"
10,1,ENST00000340573
10,4,"ENST00000358780,ENST00000398187,ENST00000538316,ENST00000543641"
10,1,ENST00000327320
10,3,"ENST00000525123,ENST00000528244,ENST00000528609"
10,3,"ENST00000278426,ENST00000524995,ENST00000533263"
10,3,"ENST00000527805,ENST00000675595,ENST00000675843"
10,1,ENST00000433890
10,17,"ENST00000313663,ENST00000334126,ENST00000414160,ENST00000442398,ENST00000538361,ENST00000679415,ENST00000679906,ENST00000680231,ENST00000680665,ENST00000680839,ENST00000681143,ENST00000681291,ENST00000681310,ENST00000681385,ENST00000681811,ENST00000681829,ENST00000681924"
10,10,"ENST00000255078,ENST00000539224,ENST00000674955,ENST00000675118,ENST00000675119,ENST00000675305,ENST00000675464,ENST00000675615,ENST00000675683,ENST00000676228"
10,1,ENST00000641600
10,2,"ENST00000239614,ENST00000674284"
10,2,"ENST00000321685,ENST00000628077"
10,9,"ENST00000005082,ENST00000354599,ENST00000399602,ENST00000525313,ENST00000525502,ENST00000526501,ENST00000528796,ENST00000530643,ENST00000533036"
10,4,"ENST00000263774,ENST00000528192,ENST00000530295,ENST00000534208"
10,13,"ENST00000323180,ENST00000418153,ENST00000524497,ENST00000525438,ENST00000525676,ENST00000529734,ENST00000530587,ENST00000531959,ENST00000532883,ENST00000533757,ENST00000676320,ENST00000690620,ENST00000693049"
10,7,"ENST00000300737,ENST00000526596,ENST00000527651,ENST00000532610,ENST00000532919,ENST00000533977,ENST00000616714"
10,10,"ENST00000313005,ENST00000392937,ENST00000428381,ENST00000445823,ENST00000510630,ENST00000510915,ENST00000513780,ENST00000514464,ENST00000680681,ENST00000680971"
10,3,"ENST00000379965,ENST00000414641,ENST00000414897"
10,4,"ENST00000375300,ENST00000413553,ENST00000445177,ENST00000446921"
10,10,"ENST00000263574,ENST00000278756,ENST00000338167,ENST00000345598,ENST00000528499,ENST00000530132,ENST00000533195,ENST00000533713,ENST00000534582,ENST00000650012"
10,5,"ENST00000294309,ENST00000635811,ENST00000637084,ENST00000637342,ENST00000692585"
10,3,"ENST00000346178,ENST00000534613,ENST00000534779"
10,5,"ENST00000322776,ENST00000415352,ENST00000529927,ENST00000532303,ENST00000647561"
10,1,ENST00000506523
10,9,"ENST00000321297,ENST00000435507,ENST00000535830,ENST00000537837,ENST00000538973,ENST00000540222,ENST00000541367,ENST00000541554,ENST00000541999"
10,3,"ENST00000308488,ENST00000526324,ENST00000528095"
10,6,"ENST00000308162,ENST00000524553,ENST00000525451,ENST00000526975,ENST00000532134,ENST00000534784"
10,1,ENST00000429814
10,3,"ENST00000525455,ENST00000531944,ENST00000531996"
10,10,"ENST00000528498,ENST00000528556,ENST00000528900,ENST00000530131,ENST00000530301,ENST00000530749,ENST00000533678,ENST00000544551,ENST00000645495,ENST00000647231"
10,1,ENST00000530398
10,6,"ENST00000423339,ENST00000530203,ENST00000644686,ENST00000645439,ENST00000680979,ENST00000681451"
10,16,"ENST00000278544,ENST00000531352,ENST00000532485,ENST00000679754,ENST00000679866,ENST00000679924,ENST00000680583,ENST00000680842,ENST00000681004,ENST00000681251,ENST00000681257,ENST00000681354,ENST00000681375,ENST00000681411,ENST00000681732,ENST00000681955"
10,6,"ENST00000278935,ENST00000525416,ENST00000525734,ENST00000527609,ENST00000533153,ENST00000533570"
10,6,"ENST00000322776,ENST00000415352,ENST00000528314,ENST00000529927,ENST00000530103,ENST00000647561"
10,3,"ENST00000417302,ENST00000462734,ENST00000493230"
10,5,"ENST00000003302,ENST00000538475,ENST00000540438,ENST00000544967,ENST00000545540"
10,8,"ENST00000289575,ENST00000428359,ENST00000525845,ENST00000527180,ENST00000530556,ENST00000531713,ENST00000534004,ENST00000534186"
10,10,"ENST00000310571,ENST00000376384,ENST00000504441,ENST00000535604,ENST00000536003,ENST00000541951,ENST00000543814,ENST00000544552,ENST00000544909,ENST00000546039"
10,12,"ENST00000320230,ENST00000481290,ENST00000528606,ENST00000529351,ENST00000531214,ENST00000531437,ENST00000531534,ENST00000532484,ENST00000533385,ENST00000625419,ENST00000627843,ENST00000628067"
10,1,ENST00000545896
